ticker	label	date	open	high	low	close	volume	currency
FR0000124141	VEOLIA ENVIRONN.	08/12/2015	22,005	22,065	21,600	21,630	1461386	EUR
FR0000124141	VEOLIA ENVIRONN.	09/12/2015	21,630	21,850	21,595	21,630	2037647	EUR
FR0000124141	VEOLIA ENVIRONN.	10/12/2015	21,635	21,830	21,470	21,585	1678305	EUR
FR0000124141	VEOLIA ENVIRONN.	11/12/2015	21,625	21,630	21,125	21,125	2156071	EUR
FR0000124141	VEOLIA ENVIRONN.	14/12/2015	21,680	21,945	21,230	21,765	4058002	EUR
FR0000124141	VEOLIA ENVIRONN.	15/12/2015	21,920	21,950	21,480	21,870	3012028	EUR
FR0000124141	VEOLIA ENVIRONN.	16/12/2015	21,850	21,980	21,740	21,875	1921487	EUR
FR0000124141	VEOLIA ENVIRONN.	17/12/2015	22,230	22,650	22,025	22,090	2258174	EUR
FR0000124141	VEOLIA ENVIRONN.	18/12/2015	21,930	22,110	21,545	21,545	4198059	EUR
FR0000124141	VEOLIA ENVIRONN.	21/12/2015	21,565	21,760	21,410	21,410	1750310	EUR
FR0000124141	VEOLIA ENVIRONN.	22/12/2015	21,500	21,500	20,920	20,975	1783811	EUR
FR0000124141	VEOLIA ENVIRONN.	23/12/2015	21,120	21,350	20,900	21,295	1459903	EUR
FR0000124141	VEOLIA ENVIRONN.	24/12/2015	21,365	21,380	21,165	21,380	279358	EUR
FR0000124141	VEOLIA ENVIRONN.	28/12/2015	21,385	21,580	21,250	21,365	1072353	EUR
FR0000124141	VEOLIA ENVIRONN.	29/12/2015	21,470	22,195	21,470	22,065	2096640	EUR
FR0000124141	VEOLIA ENVIRONN.	30/12/2015	22,020	22,260	22,000	22,065	1173936	EUR
FR0000124141	VEOLIA ENVIRONN.	31/12/2015	21,945	22,105	21,705	21,865	458830	EUR
FR0000124141	VEOLIA ENVIRONN.	04/01/2016	21,565	21,715	21,210	21,560	2099674	EUR
FR0000124141	VEOLIA ENVIRONN.	05/01/2016	21,555	21,780	21,110	21,515	2200281	EUR
FR0000124141	VEOLIA ENVIRONN.	06/01/2016	21,565	21,695	21,220	21,410	1578213	EUR
FR0000124141	VEOLIA ENVIRONN.	07/01/2016	20,950	21,300	20,820	21,220	2530595	EUR
FR0000124141	VEOLIA ENVIRONN.	08/01/2016	21,225	21,550	21,155	21,155	2563178	EUR
FR0000124141	VEOLIA ENVIRONN.	11/01/2016	21,120	21,620	20,930	21,310	2126103	EUR
FR0000124141	VEOLIA ENVIRONN.	12/01/2016	21,370	21,760	21,220	21,650	2948881	EUR
FR0000124141	VEOLIA ENVIRONN.	13/01/2016	21,790	22,010	21,695	21,735	1942897	EUR
FR0000124141	VEOLIA ENVIRONN.	14/01/2016	21,500	21,560	20,935	21,085	3065089	EUR
FR0000124141	VEOLIA ENVIRONN.	15/01/2016	21,070	21,170	20,445	20,590	2452103	EUR
FR0000124141	VEOLIA ENVIRONN.	18/01/2016	20,530	20,700	20,335	20,525	1576217	EUR
FR0000124141	VEOLIA ENVIRONN.	19/01/2016	20,795	21,055	20,665	21,020	2022118	EUR
FR0000124141	VEOLIA ENVIRONN.	20/01/2016	20,635	20,940	20,435	20,600	2410989	EUR
FR0000124141	VEOLIA ENVIRONN.	21/01/2016	20,585	20,785	20,330	20,760	3393112	EUR
FR0000124141	VEOLIA ENVIRONN.	22/01/2016	21,000	21,295	20,940	21,250	2041902	EUR
FR0000124141	VEOLIA ENVIRONN.	25/01/2016	21,320	21,490	21,200	21,370	1621789	EUR
FR0000124141	VEOLIA ENVIRONN.	26/01/2016	21,135	21,540	20,935	21,505	2532201	EUR
FR0000124141	VEOLIA ENVIRONN.	27/01/2016	21,505	21,770	21,405	21,770	1496050	EUR
FR0000124141	VEOLIA ENVIRONN.	28/01/2016	21,655	21,900	21,465	21,595	1579279	EUR
FR0000124141	VEOLIA ENVIRONN.	29/01/2016	21,855	22,195	21,795	22,195	1798887	EUR
FR0000124141	VEOLIA ENVIRONN.	01/02/2016	22,250	22,670	22,190	22,670	2256973	EUR
FR0000124141	VEOLIA ENVIRONN.	02/02/2016	22,640	22,655	22,255	22,360	1767597	EUR
FR0000124141	VEOLIA ENVIRONN.	03/02/2016	22,340	22,460	21,945	22,080	1899837	EUR
FR0000124141	VEOLIA ENVIRONN.	04/02/2016	22,280	22,280	21,775	21,860	1655815	EUR
FR0000124141	VEOLIA ENVIRONN.	05/02/2016	21,790	21,965	21,305	21,390	2485272	EUR
FR0000124141	VEOLIA ENVIRONN.	08/02/2016	21,415	21,505	20,675	20,710	3028578	EUR
FR0000124141	VEOLIA ENVIRONN.	09/02/2016	20,720	20,840	20,190	20,485	2516915	EUR
FR0000124141	VEOLIA ENVIRONN.	10/02/2016	20,610	21,050	20,550	20,700	2377564	EUR
FR0000124141	VEOLIA ENVIRONN.	11/02/2016	20,465	20,465	19,930	19,945	3225600	EUR
FR0000124141	VEOLIA ENVIRONN.	12/02/2016	20,065	20,210	19,890	20,210	1788541	EUR
FR0000124141	VEOLIA ENVIRONN.	15/02/2016	20,610	20,900	20,550	20,765	1355567	EUR
FR0000124141	VEOLIA ENVIRONN.	16/02/2016	20,845	20,935	20,640	20,775	1236227	EUR
FR0000124141	VEOLIA ENVIRONN.	17/02/2016	20,800	21,200	20,765	21,075	1568954	EUR
FR0000124141	VEOLIA ENVIRONN.	18/02/2016	21,125	21,400	20,980	21,300	1807166	EUR
FR0000124141	VEOLIA ENVIRONN.	19/02/2016	21,345	21,420	21,155	21,315	1315387	EUR
FR0000124141	VEOLIA ENVIRONN.	22/02/2016	21,500	21,770	21,375	21,715	1483195	EUR
FR0000124141	VEOLIA ENVIRONN.	23/02/2016	21,580	21,760	21,535	21,680	1396654	EUR
FR0000124141	VEOLIA ENVIRONN.	24/02/2016	21,710	21,710	20,980	21,180	1813025	EUR
FR0000124141	VEOLIA ENVIRONN.	25/02/2016	21,750	21,805	20,985	21,420	2447405	EUR
FR0000124141	VEOLIA ENVIRONN.	26/02/2016	21,565	21,680	20,560	20,685	4043591	EUR
FR0000124141	VEOLIA ENVIRONN.	29/02/2016	20,700	20,900	20,400	20,890	2736912	EUR
FR0000124141	VEOLIA ENVIRONN.	01/03/2016	20,890	21,035	20,590	20,690	2423004	EUR
FR0000124141	VEOLIA ENVIRONN.	02/03/2016	20,690	20,860	20,475	20,670	2016443	EUR
FR0000124141	VEOLIA ENVIRONN.	03/03/2016	20,675	20,725	20,365	20,455	1838490	EUR
FR0000124141	VEOLIA ENVIRONN.	04/03/2016	20,500	20,765	20,485	20,560	1802559	EUR
FR0000124141	VEOLIA ENVIRONN.	07/03/2016	20,545	20,695	20,485	20,665	2521918	EUR
FR0000124141	VEOLIA ENVIRONN.	08/03/2016	20,445	20,520	20,170	20,350	2960984	EUR
FR0000124141	VEOLIA ENVIRONN.	09/03/2016	20,450	20,455	20,135	20,215	3050548	EUR
FR0000124141	VEOLIA ENVIRONN.	10/03/2016	20,285	20,750	20,225	20,335	2511688	EUR
FR0000124141	VEOLIA ENVIRONN.	11/03/2016	20,675	20,785	20,535	20,715	1833356	EUR
FR0000124141	VEOLIA ENVIRONN.	14/03/2016	20,825	20,950	20,705	20,825	1714481	EUR
FR0000124141	VEOLIA ENVIRONN.	15/03/2016	20,730	20,780	20,545	20,590	1484776	EUR
FR0000124141	VEOLIA ENVIRONN.	16/03/2016	20,680	20,780	20,465	20,485	1884285	EUR
FR0000124141	VEOLIA ENVIRONN.	17/03/2016	20,610	20,885	20,435	20,810	2040725	EUR
FR0000124141	VEOLIA ENVIRONN.	18/03/2016	20,820	20,910	20,690	20,750	3238070	EUR
FR0000124141	VEOLIA ENVIRONN.	21/03/2016	20,705	20,885	20,550	20,675	1176758	EUR
